FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CHO,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,MER,MGH,MPA,NEZ,PED,SAC,SAG,SFE,TAH,TLA,TLI,UIZ,VIF,XAL
07/01/23,4,72,-99,19,38,29,85,38,14,20,-99,53,-99,16,61,46,-99,27,51,-99,-99,74,-99,45,34,-99,45,57,-99
07/01/23,5,67,-99,21,44,31,45,30,12,20,-99,57,-99,16,50,45,-99,26,60,-99,-99,69,-99,27,30,-99,43,56,-99
07/01/23,6,77,-99,26,42,33,51,27,15,14,-99,72,-99,14,62,50,-99,29,50,-99,-99,66,-99,38,33,-99,43,63,-99
07/01/23,7,91,-99,32,44,55,93,26,19,29,-99,62,-99,11,56,57,-99,30,71,-99,-99,66,-99,41,35,-99,45,98,-99
07/01/23,8,81,-99,46,47,62,121,31,24,49,-99,72,-99,8,74,55,-99,26,67,-99,-99,92,-99,-99,40,-99,44,92,-99
07/01/23,9,83,-99,47,54,50,95,30,86,67,-99,83,-99,12,81,68,-99,27,77,-99,-99,109,-99,-99,61,-99,41,119,-99
07/01/23,10,77,-99,57,59,69,94,21,121,49,-99,94,-99,23,74,64,-99,32,71,-99,-99,83,-99,-99,69,-99,47,111,-99
07/01/23,11,74,-99,54,50,74,75,27,-99,80,-99,92,-99,26,73,68,-99,58,71,-99,-99,93,-99,-99,69,-99,66,98,-99
07/01/23,12,57,-99,37,40,67,73,27,-99,1,-99,86,-99,24,12,55,-99,47,55,-99,-99,94,-99,-99,55,-99,54,57,-99
07/01/23,13,39,-99,30,31,35,41,24,-99,6,-99,91,-99,23,28,57,-99,-99,44,-99,-99,37,-99,3,52,-99,42,-99,-99
07/01/23,14,36,-99,23,30,53,31,27,9,20,-99,69,-99,28,46,55,-99,44,48,-99,-99,39,-99,10,57,-99,59,4,-99
07/01/23,15,36,-99,23,31,34,27,32,8,24,-99,48,-99,35,21,53,-99,56,40,-99,-99,35,-99,32,35,-99,63,10,-99
