FECHA,HORA,AJM,AJU,BJU,CAM,CCA,COY,FAR,GAM,HGM,INN,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TLA,UAX,UIZ,XAL
08/01/23,21,-99,-99,16,3,23,-99,18,6,-99,19,7,-99,19,32,17,-99,32,17,-99,-99,22,34,16,-99
08/01/23,22,-99,-99,16,24,8,-99,22,17,-99,16,18,-99,17,22,17,-99,21,17,-99,-99,17,21,17,-99
08/01/23,23,-99,-99,17,20,14,-99,12,14,-99,14,23,-99,14,20,15,-99,17,16,-99,-99,18,22,14,-99
08/01/23,24,-99,-99,17,10,15,-99,19,14,-99,14,15,-99,29,19,14,-99,19,22,-99,-99,24,22,19,-99
09/01/23,1,-99,-99,20,20,21,-99,16,10,-99,11,17,-99,20,13,14,-99,18,11,-99,-99,26,21,15,-99
09/01/23,2,-99,-99,18,22,19,-99,19,22,-99,9,24,-99,20,15,14,-99,19,17,-99,-99,27,17,17,-99
09/01/23,3,-99,-99,18,26,16,-99,19,27,-99,9,25,-99,22,17,19,-99,20,10,-99,-99,29,18,24,-99
09/01/23,4,-99,-99,24,28,13,-99,22,23,-99,11,33,-99,18,17,22,-99,20,22,-99,-99,25,16,18,-99
09/01/23,5,-99,-99,29,19,18,-99,17,24,-99,10,25,-99,21,21,30,-99,24,20,-99,-99,25,18,19,-99
09/01/23,6,-99,-99,28,25,13,-99,20,21,-99,8,29,-99,20,17,22,-99,24,23,-99,-99,25,17,28,-99
09/01/23,7,-99,-99,21,20,21,-99,24,21,-99,13,34,-99,27,18,31,-99,24,22,-99,-99,28,25,27,-99
09/01/23,8,-99,-99,22,27,20,-99,22,29,-99,13,44,-99,41,20,28,-99,26,30,-99,-99,36,26,25,-99
09/01/23,9,-99,-99,24,38,22,-99,27,30,-99,10,38,-99,58,26,35,-99,35,26,-99,-99,41,26,28,-99
09/01/23,10,-99,-99,39,40,23,-99,23,33,-99,13,42,-99,29,29,34,-99,36,31,-99,-99,46,32,39,-99
09/01/23,11,-99,-99,48,56,26,-99,19,53,-99,18,44,-99,31,38,32,-99,54,41,-99,-99,49,30,45,-99
09/01/23,12,-99,-99,50,47,-99,-99,32,44,-99,22,46,-99,27,40,42,-99,61,31,-99,-99,53,27,44,-99
09/01/23,13,-99,-99,42,22,-99,-99,21,39,-99,14,22,-99,17,29,28,-99,37,32,-99,-99,40,33,35,-99
