FECHA,HORA,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
05/01/23,10,17,32,-99,21,67,48,43,-99,-99,13,47,40,38,62,55,-99,61,-99,-99,55,41,26,11,30,-99,36,37,-99,-99,36,46,-99,46,35,22,-99
05/01/23,11,13,40,-99,21,45,39,49,-99,-99,15,33,22,58,53,39,-99,64,-99,-99,49,37,15,17,29,-99,32,26,-99,-99,31,50,-99,52,54,13,-99
05/01/23,12,15,31,-99,23,36,36,32,-99,-99,16,22,25,47,55,40,-99,42,-99,-99,43,29,12,10,56,-99,40,21,-99,-99,31,28,-99,60,69,11,-99
05/01/23,13,6,18,-99,17,30,33,21,22,-99,9,14,14,13,14,36,-99,-99,-99,-99,33,27,13,19,49,-99,60,17,-99,-99,43,20,-99,30,46,8,-99
05/01/23,14,4,20,-99,12,27,20,24,28,-99,12,11,19,8,7,32,-99,17,-99,-99,15,29,6,30,14,-99,26,15,-99,-99,42,12,-99,23,17,5,-99
05/01/23,15,4,21,-99,10,13,12,22,24,-99,17,10,14,7,7,15,-99,15,-99,-99,16,19,3,23,13,-99,13,10,-99,-99,26,12,-99,13,16,4,-99
05/01/23,16,5,20,-99,9,11,11,15,16,-99,17,9,11,6,7,16,-99,14,-99,-99,23,16,3,16,12,-99,10,11,-99,-99,14,15,-99,11,12,5,-99
05/01/23,17,5,18,-99,11,9,15,13,19,-99,13,11,11,6,9,17,-99,14,-99,-99,15,14,2,7,11,-99,11,15,-99,-99,-99,12,-99,10,18,7,-99
05/01/23,18,8,22,-99,13,15,20,14,25,-99,15,16,18,12,13,24,-99,22,-99,-99,25,22,4,5,20,-99,16,16,-99,-99,15,20,-99,15,23,11,-99
05/01/23,19,12,28,-99,13,23,28,22,29,-99,21,18,18,19,20,23,-99,31,-99,-99,34,24,8,11,25,-99,27,21,-99,-99,15,24,-99,26,28,15,-99
