FECHA,HORA,ESTACION,CO,NO,NO2,NOX,O3,PM10,PM25,PMCO,SO2,RH,TMP,WDR,WSP
2023-01-01,4,CUT,0.95,9.0,20.0,29.0,3.0,93.0,23.0,16.0,2.0,76.0,6.3,253.0,1.4
2023-01-01,4,FAC,0.88,17.0,22.0,39.0,2.0,68.0,23.0,16.0,1.0,83.0,5.6,234.0,0.8
2023-01-01,4,FAR,1.11,3.0,21.0,24.0,2.0,45.0,119.0,16.0,2.0,80.0,10.6,58.0,1.3
2023-01-01,4,GAM,0.355,3.0,26.0,24.0,2.0,288.0,225.0,64.0,1.0,75.0,11.8,60.0,0.2
2023-01-01,4,HGM,1.59,55.0,28.0,83.0,4.0,52.5,23.0,29.0,3.0,62.0,11.5,44.0,1.0
2023-01-01,4,INN,0.12,3.0,19.0,24.0,16.0,7.0,6.0,1.0,0.0,88.0,2.7,89.0,0.4
2023-01-01,4,IZT,1.43,36.0,30.0,66.0,2.0,113.0,23.0,16.0,2.0,51.0,17.4,163.0,1.8
2023-01-01,4,LAA,0.355,3.0,19.0,24.0,26.0,45.0,23.0,16.0,1.0,78.0,10.5,307.0,0.2
2023-01-01,4,LLA,0.355,3.0,19.0,24.0,3.0,45.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,4,LPR,1.0,3.0,19.0,24.0,3.0,45.0,23.0,16.0,2.0,51.0,17.4,163.0,1.8
2023-01-01,4,MER,1.25,31.0,28.0,60.0,2.0,96.0,85.0,12.0,2.0,71.0,11.3,181.0,1.1
2023-01-01,4,MGH,1.1,26.0,28.0,55.0,2.0,45.0,23.0,16.0,2.0,35.5,19.9,205.0,1.9
2023-01-01,4,MON,1.56,35.0,18.0,53.0,7.0,45.0,138.0,16.0,1.0,75.0,8.1,350.0,0.0
2023-01-01,4,MPA,0.19,3.0,3.0,24.0,31.0,14.0,10.0,4.0,1.0,77.0,15.5,208.0,1.6
2023-01-01,4,NEZ,1.73,58.0,32.0,90.0,2.0,185.0,158.0,16.0,6.0,64.0,11.9,314.0,0.8
2023-01-01,4,PED,0.38,1.0,14.0,15.0,12.0,37.0,22.0,15.5,1.0,60.0,9.9,222.0,1.7
2023-01-01,4,SAC,2.46,73.0,29.0,102.0,5.0,45.0,233.0,16.0,1.0,75.0,16.6,135.0,0.2
2023-01-01,4,SAG,1.64,56.0,26.0,83.0,4.0,222.0,179.0,43.0,2.0,83.0,11.0,63.0,0.4
2023-01-01,4,SFE,0.355,3.0,19.0,24.0,26.0,45.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,4,SJA,0.355,3.0,19.0,24.0,26.0,45.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,4,TAH,0.7,5.0,16.0,21.0,8.0,85.0,23.0,16.0,1.0,66.0,8.4,156.0,1.8
2023-01-01,4,TLA,0.89,26.0,26.0,52.0,1.0,72.0,53.0,19.0,1.0,66.0,9.9,315.0,1.7
2023-01-01,4,TLI,0.4,4.0,22.0,30.0,34.0,45.0,23.0,16.0,2.0,51.0,17.4,163.0,1.8
